[33mWARNING: Skipping user bind, non existent bind point (file) in container: '/usr/bin/nvidia-smi'
[0m[33mWARNING: Skipping user bind, non existent bind point (file) in container: '/usr/bin/nvidia-debugdump'
[0m[33mWARNING: Skipping user bind, non existent bind point (file) in container: '/usr/bin/nvidia-persistenced'
[0m[33mWARNING: Skipping user bind, non existent bind point (file) in container: '/usr/bin/nvidia-cuda-mps-control'
[0m[33mWARNING: Skipping user bind, non existent bind point (file) in container: '/usr/bin/nvidia-cuda-mps-server'
[0mHOOMD-blue 2.3.5 CUDA (8.0) DOUBLE HPMC_MIXED TBB SSE SSE2 
Compiled: 10/08/18
Copyright 2009-2018 The Regents of the University of Michigan.
-----
You are using HOOMD-blue. Please cite the following:
* J A Anderson, C D Lorenz, and A Travesset. "General purpose molecular dynamics
  simulations fully implemented on graphics processing units", Journal of
  Computational Physics 227 (2008) 5342--5359
* J Glaser, T D Nguyen, J A Anderson, P Liu, F Spiga, J A Millan, D C Morse, and
  S C Glotzer. "Strong scaling of general-purpose molecular dynamics simulations
  on GPUs", Computer Physics Communications 192 (2015) 97--107
-----
notice(2): This system is not compute exclusive, using local rank to select GPUs
HOOMD-blue is running on the following GPU(s):
 [0]            Tesla K20m  13 SM_3.5 @ 0.706 GHz, 4743 MiB DRAM
Equilibrium_T_6_8.py:027  |  system = hoomd.init.read_gsd("T_CM_7.0_P_1.4_ramp.gsd",frame = -1)
notice(2): Group "all" created containing 1000 particles
Equilibrium_T_6_8.py:031  |  rigid = hoomd.md.constrain.rigid();
notice(2): constrain.rigid(): Creating 1000 rigid bodies (adding 8000 particles)
Equilibrium_T_6_8.py:043  |  nl = hoomd.md.nlist.tree();
-----
You are using tree neighbor lists. Please cite the following:
* M P Howard, J A Anderson, A Nikoubashman, S C Glotzer, and A Z
  Panagiotopoulos. "Efficient neighbor list calculation for molecular simulation
  of colloidal systems using graphics processing units", Computer Physics
  Communications 203 (2016) 45--52
-----
Equilibrium_T_6_8.py:045  |  lj = hoomd.md.pair.lj(r_cut = 3.5, nlist = nl)
Equilibrium_T_6_8.py:046  |  lj.set_params(mode = 'shift')
Equilibrium_T_6_8.py:050  |  lj.pair_coeff.set('M','M', epsilon = 1.0, sigma = 1.0)
Equilibrium_T_6_8.py:051  |  lj.pair_coeff.set('A','A', epsilon = 1.0, sigma = 1.0)
Equilibrium_T_6_8.py:052  |  lj.pair_coeff.set('M','A', epsilon = 1.0, sigma = 1.0)
Equilibrium_T_6_8.py:056  |  hoomd.md.integrate.mode_standard(dt = 0.005);
Equilibrium_T_6_8.py:060  |  mesogens = hoomd.group.rigid_center();
notice(2): Group "rigid_center" created containing 1000 particles
Equilibrium_T_6_8.py:068  |  npt = hoomd.md.integrate.npt(group = mesogens, kT = t_max, tau = 14.0, tauP = 14.0, P = p_max);
Equilibrium_T_6_8.py:077  |  log = hoomd.analyze.log(filename = log_file,
                         quantities = ['num_particles',
                                     'ndof',
                                     'translational_ndof',
                                     'rotational_ndof',
                                     'potential_energy',
                                     'kinetic_energy',
                                     'translational_kinetic_energy',
                                     'rotational_kinetic_energy',
                                     'temperature',
                                     'pressure',
                                      'volume'],
                         period = 1e3,
                         overwrite = True);
Equilibrium_T_6_8.py:093  |                 group = hoomd.group.all(),
Equilibrium_T_6_8.py:091  |  gsd = hoomd.dump.gsd(gsd_file,
               period = 1e3,
               group = hoomd.group.all(),
               overwrite = True); 
Equilibrium_T_6_8.py:095  |  meso_gsd = hoomd.dump.gsd(meso_gsd_file,
               period = 1e3,
               group = mesogens,
               overwrite = True); 
Equilibrium_T_6_8.py:104  |  hoomd.run(steps)
notice(2): -- Neighborlist exclusion statistics -- :
notice(2): Particles with 0 exclusions             : 9000
notice(2): Neighbors included by diameter          : no
notice(2): Neighbors excluded when in the same body: yes
** starting run **
Time 00:00:10 | Step 1746494 / 1944000 | TPS 249.213 | ETA 00:13:12
Time 00:00:20 | Step 1749225 / 1944000 | TPS 272.982 | ETA 00:11:53
Time 00:00:30 | Step 1751913 / 1944000 | TPS 268.792 | ETA 00:11:54
Time 00:00:40 | Step 1754607 / 1944000 | TPS 269.256 | ETA 00:11:43
Time 00:00:50 | Step 1757291 / 1944000 | TPS 268.275 | ETA 00:11:35
Time 00:01:00 | Step 1760034 / 1944000 | TPS 274.171 | ETA 00:11:10
Time 00:01:10 | Step 1762762 / 1944000 | TPS 272.696 | ETA 00:11:04
Time 00:01:20 | Step 1765470 / 1944000 | TPS 270.797 | ETA 00:10:59
Time 00:01:30 | Step 1768203 / 1944000 | TPS 273.294 | ETA 00:10:43
Time 00:01:40 | Step 1770888 / 1944000 | TPS 268.338 | ETA 00:10:45
Time 00:01:50 | Step 1773569 / 1944000 | TPS 267.905 | ETA 00:10:36
Time 00:02:00 | Step 1776268 / 1944000 | TPS 269.865 | ETA 00:10:21
Time 00:02:10 | Step 1778921 / 1944000 | TPS 265.208 | ETA 00:10:22
Time 00:02:20 | Step 1781590 / 1944000 | TPS 266.869 | ETA 00:10:08
Time 00:02:30 | Step 1784383 / 1944000 | TPS 279.29 | ETA 00:09:31
Time 00:02:40 | Step 1787082 / 1944000 | TPS 269.79 | ETA 00:09:41
Time 00:02:50 | Step 1789813 / 1944000 | TPS 273.041 | ETA 00:09:24
Time 00:03:00 | Step 1792546 / 1944000 | TPS 273.202 | ETA 00:09:14
Time 00:03:10 | Step 1795264 / 1944000 | TPS 271.639 | ETA 00:09:07
Time 00:03:20 | Step 1797987 / 1944000 | TPS 272.195 | ETA 00:08:56
Time 00:03:30 | Step 1800660 / 1944000 | TPS 267.158 | ETA 00:08:56
Time 00:03:40 | Step 1803355 / 1944000 | TPS 269.363 | ETA 00:08:42
Time 00:03:50 | Step 1806026 / 1944000 | TPS 266.957 | ETA 00:08:36
Time 00:04:00 | Step 1808828 / 1944000 | TPS 280.158 | ETA 00:08:02
Time 00:04:10 | Step 1811545 / 1944000 | TPS 271.627 | ETA 00:08:07
Time 00:04:20 | Step 1814250 / 1944000 | TPS 270.407 | ETA 00:07:59
Time 00:04:30 | Step 1816916 / 1944000 | TPS 266.48 | ETA 00:07:56
Time 00:04:40 | Step 1819603 / 1944000 | TPS 268.63 | ETA 00:07:43
Time 00:04:50 | Step 1822249 / 1944000 | TPS 264.538 | ETA 00:07:40
Time 00:05:00 | Step 1824973 / 1944000 | TPS 272.264 | ETA 00:07:17
Time 00:05:10 | Step 1827741 / 1944000 | TPS 276.643 | ETA 00:07:00
Time 00:05:20 | Step 1830496 / 1944000 | TPS 275.306 | ETA 00:06:52
Time 00:05:30 | Step 1833259 / 1944000 | TPS 276.288 | ETA 00:06:40
Time 00:05:40 | Step 1835966 / 1944000 | TPS 270.697 | ETA 00:06:39
Time 00:05:50 | Step 1838655 / 1944000 | TPS 268.8 | ETA 00:06:31
Time 00:06:00 | Step 1841359 / 1944000 | TPS 270.212 | ETA 00:06:19
Time 00:06:10 | Step 1844052 / 1944000 | TPS 269.19 | ETA 00:06:11
Time 00:06:20 | Step 1846745 / 1944000 | TPS 269.295 | ETA 00:06:01
Time 00:06:30 | Step 1849540 / 1944000 | TPS 279.497 | ETA 00:05:37
Time 00:06:40 | Step 1852291 / 1944000 | TPS 274.961 | ETA 00:05:33
Time 00:06:50 | Step 1855060 / 1944000 | TPS 276.844 | ETA 00:05:21
Time 00:07:00 | Step 1857733 / 1944000 | TPS 267.171 | ETA 00:05:22
Time 00:07:10 | Step 1860433 / 1944000 | TPS 269.999 | ETA 00:05:09
Time 00:07:20 | Step 1863147 / 1944000 | TPS 271.295 | ETA 00:04:58
Time 00:07:30 | Step 1865814 / 1944000 | TPS 266.684 | ETA 00:04:53
Time 00:07:40 | Step 1868495 / 1944000 | TPS 268.05 | ETA 00:04:41
